id	cell_type	target	treat	input
SRR8315174	ZR-75	AR	E2	SRR8315192
SRR8315175	ZR-75	AR	E2	SRR8315192
SRR8315176	ZR-75	AR	E2	SRR8315192
SRR8315177	ZR-75	AR	E2DHT	SRR8315192
SRR8315178	ZR-75	AR	E2DHT	SRR8315192
SRR8315179	ZR-75	AR	E2DHT	SRR8315192
SRR8315180	ZR-75	ER	E2	SRR8315192
SRR8315181	ZR-75	ER	E2	SRR8315192
SRR8315182	ZR-75	ER	E2	SRR8315192
SRR8315183	ZR-75	ER	E2DHT	SRR8315192
SRR8315184	ZR-75	ER	E2DHT	SRR8315192
SRR8315185	ZR-75	ER	E2DHT	SRR8315192
SRR8315186	ZR-75	H3K27ac	E2	SRR8315192
SRR8315187	ZR-75	H3K27ac	E2	SRR8315192
SRR8315188	ZR-75	H3K27ac	E2	SRR8315192
SRR8315189	ZR-75	H3K27ac	E2DHT	SRR8315192
SRR8315190	ZR-75	H3K27ac	E2DHT	SRR8315192
SRR8315191	ZR-75	H3K27ac	E2DHT	SRR8315192
ZR-75-1_GATA3_E2_1	ZR-75	GATA3	E2	ZR-75-1_GATA3_Input
ZR-75-1_GATA3_E2_2	ZR-75	GATA3	E2	ZR-75-1_GATA3_Input
ZR-75-1_GATA3_E2_3	ZR-75	GATA3	E2	ZR-75-1_GATA3_Input
ZR-75-1_GATA3_E2_DHT_1	ZR-75	GATA3	E2DHT	ZR-75-1_GATA3_Input
ZR-75-1_GATA3_E2_DHT_2	ZR-75	GATA3	E2DHT	ZR-75-1_GATA3_Input
ZR-75-1_GATA3_E2_DHT_3	ZR-75	GATA3	E2DHT	ZR-75-1_GATA3_Input